image,expected_text,predicted_v1,predicted_v2,detected,score,v1_exact_match,v2_exact_match,v1_char_accuracy,v2_char_accuracy,better_model,bbox,output_image
00448275862069-92_86-268&486_389&533-384&539_263&532_266&489_387&496-0_0_31_29_32_6_29-114-13.jpg,皖A758G5,皖A758G5,皖A758G5,True,0.767,True,True,1.0,1.0,same,"[253, 484, 392, 538]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00448275862069-92_86-268&486_389&533-384&539_263&532_266&489_387&496-0_0_31_29_32_6_29-114-13.jpg
00500598659004-92_91-301&489_436&529-436&540_316&530_319&490_439&500-0_0_4_32_1_32_27-96-26.jpg,皖AE8B83,皖AE8B83,皖AE8B83,True,0.7806,True,True,1.0,1.0,same,"[303, 484, 445, 541]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00500598659004-92_91-301&489_436&529-436&540_316&530_319&490_439&500-0_0_4_32_1_32_27-96-26.jpg
0050945881226-91_90-396&394_542&444-532&448_410&440_413&399_535&407-0_0_15_11_33_26_28-137-13.jpg,皖ARM924,皖ARM924,皖ARM924,True,0.7689,True,True,1.0,1.0,same,"[389, 396, 549, 453]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\0050945881226-91_90-396&394_542&444-532&448_410&440_413&399_535&407-0_0_15_11_33_26_28-137-13.jpg
00518678160919-93_85-116&656_247&710-245&713_114&705_114&659_245&667-0_0_13_27_26_24_20-53-10.jpg,皖AP320W,皖AP320W,皖AP320W,True,0.7778,True,True,1.0,1.0,same,"[98, 650, 256, 716]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00518678160919-93_85-116&656_247&710-245&713_114&705_114&659_245&667-0_0_13_27_26_24_20-53-10.jpg
00521551724138-90_90-210&529_351&575-350&585_208&578_208&529_350&536-0_0_5_6_24_24_33-152-7.jpg,皖AFG009,皖AFG009,皖AFG009,True,0.7778,True,True,1.0,1.0,same,"[195, 525, 359, 586]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00521551724138-90_90-210&529_351&575-350&585_208&578_208&529_350&536-0_0_5_6_24_24_33-152-7.jpg
00528017241379-91_93-284&474_427&524-422&530_284&522_285&477_423&485-0_0_9_33_32_33_12-188-11.jpg,皖AK989N,皖AK989N,皖AK989N,True,0.772,True,True,1.0,1.0,same,"[270, 473, 433, 531]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00528017241379-91_93-284&474_427&524-422&530_284&522_285&477_423&485-0_0_9_33_32_33_12-188-11.jpg
00541427203065-90_94-470&297_622&348-619&343_487&343_489&303_621&303-0_0_24_33_0_32_30-152-15.jpg,皖A09A86,皖A09A86,皖A09A86,True,0.7573,True,True,1.0,1.0,same,"[475, 296, 629, 347]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00541427203065-90_94-470&297_622&348-619&343_487&343_489&303_621&303-0_0_24_33_0_32_30-152-15.jpg
00551724137931-90_91-406&315_549&359-546&352_419&355_423&312_550&309-0_0_31_28_25_33_32-88-7.jpg,皖A74198,皖A74198,皖A74198,True,0.7787,True,True,1.0,1.0,same,"[404, 304, 560, 358]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00551724137931-90_91-406&315_549&359-546&352_419&355_423&312_550&309-0_0_31_28_25_33_32-88-7.jpg
0055316091954-90_87-316&339_470&388-473&386_323&386_323&335_473&335-0_0_26_27_4_30_27-118-7.jpg,皖A23E63,皖A23E63,皖A23E63,True,0.7706,True,True,1.0,1.0,same,"[309, 333, 478, 388]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\0055316091954-90_87-316&339_470&388-473&386_323&386_323&335_473&335-0_0_26_27_4_30_27-118-7.jpg
00555076628352-90_85-307&476_440&528-437&535_306&528_306&483_437&490-0_0_23_26_31_28_28-161-22.jpg,皖AZ2744,皖AZ2744,皖AZ2744,True,0.7856,True,True,1.0,1.0,same,"[296, 479, 442, 536]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00555076628352-90_85-307&476_440&528-437&535_306&528_306&483_437&490-0_0_23_26_31_28_28-161-22.jpg
00559626436781-90_90-356&457_491&499-486&506_357&504_363&453_492&455-0_0_8_21_24_29_32-133-7.jpg,皖AJX058,皖AJX058,皖AJX058,True,0.7898,True,True,1.0,1.0,same,"[348, 452, 496, 508]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00559626436781-90_90-356&457_491&499-486&506_357&504_363&453_492&455-0_0_8_21_24_29_32-133-7.jpg
00560344827586-89_89-264&306_411&357-405&357_263&363_260&317_402&311-0_0_7_2_33_30_25-109-8.jpg,皖AHC961,皖AHC961,皖AHC961,True,0.7667,True,True,1.0,1.0,same,"[250, 306, 409, 360]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00560344827586-89_89-264&306_411&357-405&357_263&363_260&317_402&311-0_0_7_2_33_30_25-109-8.jpg
00577825670498-90_89-228&531_381&578-387&584_224&584_223&528_386&528-0_0_29_32_9_29_30-164-17.jpg,皖A58K56,皖A58K56,皖A58K56,True,0.817,True,True,1.0,1.0,same,"[214, 524, 394, 586]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00577825670498-90_89-228&531_381&578-387&584_224&584_223&528_386&528-0_0_29_32_9_29_30-164-17.jpg
00578304597702-90_90-493&338_644&393-633&392_501&394_504&339_636&337-0_0_23_29_22_25_31-124-8.jpg,皖AZ5Y17,皖AZ5Y17,皖AZ5Y17,True,0.7425,True,True,1.0,1.0,same,"[474, 336, 654, 395]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00578304597702-90_90-493&338_644&393-633&392_501&394_504&339_636&337-0_0_23_29_22_25_31-124-8.jpg
00584770114943-90_85-300&408_442&454-448&456_298&463_296&411_446&404-0_0_30_29_11_30_24-138-27.jpg,皖A65M60,皖A65M60,皖A65M60,True,0.7839,True,True,1.0,1.0,same,"[286, 402, 454, 463]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00584770114943-90_85-300&408_442&454-448&456_298&463_296&411_446&404-0_0_30_29_11_30_24-138-27.jpg
00591475095786-90_90-311&501_449&552-448&550_318&543_319&496_449&503-0_7_5_22_30_27_27-165-14.jpg,皖HFY633,皖HFY633,皖HFY633,True,0.7808,True,True,1.0,1.0,same,"[305, 493, 455, 551]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00591475095786-90_90-311&501_449&552-448&550_318&543_319&496_449&503-0_7_5_22_30_27_27-165-14.jpg
0060775862069-90_91-265&524_426&570-425&582_266&573_269&520_428&529-0_0_12_14_25_26_27-92-16.jpg,皖ANQ123,皖ANQ123,皖ANQ123,True,0.789,True,True,1.0,1.0,same,"[258, 520, 431, 580]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\0060775862069-90_91-265&524_426&570-425&582_266&573_269&520_428&529-0_0_12_14_25_26_27-92-16.jpg
00618534482759-91_87-237&545_372&591-373&598_242&591_246&546_377&553-0_0_2_30_30_32_5-95-12.jpg,皖AC668F,皖AC668F,皖AC668F,True,0.773,True,True,1.0,1.0,same,"[232, 543, 386, 599]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00618534482759-91_87-237&545_372&591-373&598_242&591_246&546_377&553-0_0_2_30_30_32_5-95-12.jpg
00623563218391-91_83-264&485_405&533-403&542_264&533_262&487_401&496-0_0_10_33_16_29_33-119-20.jpg,皖AL9S59,皖AL9S59,皖AL9S59,True,0.7831,True,True,1.0,1.0,same,"[252, 482, 412, 543]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00623563218391-91_83-264&485_405&533-403&542_264&533_262&487_401&496-0_0_10_33_16_29_33-119-20.jpg
00638170498084-90_90-347&527_493&579-503&580_346&589_341&536_498&527-0_0_24_8_26_30_33-125-8.jpg,皖A0J269,皖A0J269,皖A0J269,True,0.7967,True,True,1.0,1.0,same,"[336, 529, 506, 586]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00638170498084-90_90-347&527_493&579-503&580_346&589_341&536_498&527-0_0_24_8_26_30_33-125-8.jpg
00641762452107-90_92-257&514_417&570-416&575_263&581_265&526_418&520-0_0_7_9_30_24_26-82-8.jpg,皖AHK602,皖AHK602,皖AHK602,True,0.7591,True,True,1.0,1.0,same,"[245, 513, 440, 581]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00641762452107-90_92-257&514_417&570-416&575_263&581_265&526_418&520-0_0_7_9_30_24_26-82-8.jpg
00644396551724-90_86-310&523_462&568-467&572_307&577_309&523_469&518-0_0_9_2_25_33_30-153-13.jpg,皖AKC196,皖AKC196,皖AKC196,True,0.7763,True,True,1.0,1.0,same,"[303, 520, 472, 576]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00644396551724-90_86-310&523_462&568-467&572_307&577_309&523_469&518-0_0_9_2_25_33_30-153-13.jpg
00649066091954-90_88-272&429_422&481-434&484_270&486_268&432_432&430-0_0_4_0_26_28_27-142-7.jpg,皖AEA243,皖AEA243,皖AEA243,True,0.7902,True,True,1.0,1.0,same,"[259, 428, 439, 488]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00649066091954-90_88-272&429_422&481-434&484_270&486_268&432_432&430-0_0_4_0_26_28_27-142-7.jpg
00649066091954-90_92-333&397_506&452-513&460_328&457_327&398_512&401-0_0_10_27_30_32_9-133-21.jpg,皖AL368K,皖AL368K,皖AL368K,True,0.7931,True,True,1.0,1.0,same,"[321, 398, 516, 457]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00649066091954-90_92-333&397_506&452-513&460_328&457_327&398_512&401-0_0_10_27_30_32_9-133-21.jpg
00652897509579-90_91-478&358_634&413-629&410_493&412_492&365_628&363-0_9_17_31_19_31_31-138-7.jpg,皖KT7V77,皖KT7V77,皖KT7V77,True,0.8069,True,True,1.0,1.0,same,"[485, 363, 631, 413]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00652897509579-90_91-478&358_634&413-629&410_493&412_492&365_628&363-0_9_17_31_19_31_31-138-7.jpg
00659722222222-90_86-374&507_527&572-529&580_371&574_368&518_526&524-0_0_15_25_26_32_32-57-46.jpg,皖AR1288,皖AR1288,皖AR1288,True,0.7885,True,True,1.0,1.0,same,"[359, 517, 535, 577]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00659722222222-90_86-374&507_527&572-529&580_371&574_368&518_526&524-0_0_15_25_26_32_32-57-46.jpg
0066415229885-90_89-220&486_369&544-355&540_224&537_227&491_358&494-0_0_25_25_20_30_32-151-75.jpg,皖A11W68,皖A11W68,皖A11W68,True,0.7737,True,True,1.0,1.0,same,"[213, 487, 362, 541]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\0066415229885-90_89-220&486_369&544-355&540_224&537_227&491_358&494-0_0_25_25_20_30_32-151-75.jpg
00667744252874-91_85-293&494_455&546-460&541_294&544_291&489_457&486-0_0_25_23_33_29_32-86-8.jpg,皖A1Z958,皖A1Z958,皖A1Z958,True,0.7884,True,True,1.0,1.0,same,"[280, 482, 468, 545]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00667744252874-91_85-293&494_455&546-460&541_294&544_291&489_457&486-0_0_25_23_33_29_32-86-8.jpg
00674329501916-91_88-307&482_449&531-445&536_314&527_315&483_446&492-0_0_10_26_31_25_18-114-26.jpg,皖AL271U,皖AL271U,皖AL271U,True,0.784,True,True,1.0,1.0,same,"[304, 480, 452, 537]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00674329501916-91_88-307&482_449&531-445&536_314&527_315&483_446&492-0_0_10_26_31_25_18-114-26.jpg
00684267241379-90_87-298&483_438&539-444&539_301&535_304&483_447&487-0_0_33_16_33_29_25-172-8.jpg,皖A9S951,皖A9S951,皖A9S951,True,0.7916,True,True,1.0,1.0,same,"[289, 477, 453, 543]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00684267241379-90_87-298&483_438&539-444&539_301&535_304&483_447&487-0_0_33_16_33_29_25-172-8.jpg
00689655172414-92_88-295&414_442&465-444&469_294&458_298&406_448&417-0_0_29_30_30_22_32-108-13.jpg,皖A566Y8,皖A566Y8,皖A566Y8,True,0.7812,True,True,1.0,1.0,same,"[283, 403, 452, 470]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00689655172414-92_88-295&414_442&465-444&469_294&458_298&406_448&417-0_0_29_30_30_22_32-108-13.jpg
0069216954023-90_90-284&444_433&492-431&491_285&495_284&445_430&441-0_0_9_27_24_33_21-100-40.jpg,皖AK309X,皖AK309X,皖AK309X,True,0.7906,True,True,1.0,1.0,same,"[275, 440, 438, 496]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\0069216954023-90_90-284&444_433&492-431&491_285&495_284&445_430&441-0_0_9_27_24_33_21-100-40.jpg
00695761494253-90_87-267&461_422&518-420&508_267&510_270&460_423&458-0_0_27_19_29_26_31-113-23.jpg,皖A3V527,皖A3V527,皖A3V527,True,0.796,True,True,1.0,1.0,same,"[259, 452, 429, 513]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00695761494253-90_87-267&461_422&518-420&508_267&510_270&460_423&458-0_0_27_19_29_26_31-113-23.jpg
00695761494253-90_94-315&478_481&529-475&530_316&538_318&488_477&480-0_0_33_28_28_32_28-101-14.jpg,皖A94484,皖A94484,皖A94484,True,0.7972,True,True,1.0,1.0,same,"[302, 474, 487, 543]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00695761494253-90_94-315&478_481&529-475&530_316&538_318&488_477&480-0_0_33_28_28_32_28-101-14.jpg
00697078544062-90_92-273&487_437&531-429&537_277&540_274&487_426&484-0_3_26_31_24_29_27-125-18.jpg,皖D27053,皖D27053,皖D27053,True,0.7969,True,True,1.0,1.0,same,"[264, 480, 436, 543]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00697078544062-90_92-273&487_437&531-429&537_277&540_274&487_426&484-0_3_26_31_24_29_27-125-18.jpg
00705100574712-89_94-263&515_421&577-422&567_266&575_266&519_422&511-0_0_0_11_29_26_26-118-13.jpg,皖AAM522,皖AAM522,皖AAM522,True,0.7901,True,True,1.0,1.0,same,"[258, 515, 428, 571]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00705100574712-89_94-263&515_421&577-422&567_266&575_266&519_422&511-0_0_0_11_29_26_26-118-13.jpg
00705100574712-90_91-256&546_419&598-421&597_247&598_255&544_429&543-0_0_26_18_27_29_29-66-15.jpg,皖A2U355,皖A2U355,皖A2U355,True,0.7764,True,True,1.0,1.0,same,"[236, 538, 435, 600]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00705100574712-90_91-256&546_419&598-421&597_247&598_255&544_429&543-0_0_26_18_27_29_29-66-15.jpg
00705938697318-90_91-325&435_489&486-498&498_325&494_326&440_499&444-10_1_20_4_27_27_32-85-16.jpg,苏BWE338,苏BWE338,苏BWE338,True,0.8049,True,True,1.0,1.0,same,"[312, 435, 506, 503]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00705938697318-90_91-325&435_489&486-498&498_325&494_326&440_499&444-10_1_20_4_27_27_32-85-16.jpg
00706896551724-90_90-338&413_507&457-511&459_337&462_336&407_510&404-0_0_30_33_5_26_31-107-19.jpg,皖A69F27,皖A69F27,皖A69F27,True,0.7995,True,True,1.0,1.0,same,"[326, 399, 519, 467]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00706896551724-90_90-338&413_507&457-511&459_337&462_336&407_510&404-0_0_30_33_5_26_31-107-19.jpg
00709770114943-90_87-312&452_482&505-478&505_316&501_318&446_480&450-0_0_33_12_27_27_27-171-24.jpg,皖A9N333,皖A9N333,皖A9N333,True,0.8039,True,True,1.0,1.0,same,"[306, 444, 487, 505]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00709770114943-90_87-312&452_482&505-478&505_316&501_318&446_480&450-0_0_33_12_27_27_27-171-24.jpg
00711206896552-90_89-275&543_460&603-451&603_278&605_274&548_447&546-0_0_4_33_24_24_11-120-26.jpg,皖AE900M,皖AE900M,皖AE900M,True,0.8023,True,True,1.0,1.0,same,"[261, 538, 460, 610]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00711206896552-90_89-275&543_460&603-451&603_278&605_274&548_447&546-0_0_4_33_24_24_11-120-26.jpg
00718390804598-90_89-277&460_453&512-459&522_271&516_270&458_458&464-0_0_28_11_26_33_24-116-8.jpg,皖A4M290,皖A4M290,皖A4M290,True,0.8015,True,True,1.0,1.0,same,"[259, 456, 466, 524]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00718390804598-90_89-277&460_453&512-459&522_271&516_270&458_458&464-0_0_28_11_26_33_24-116-8.jpg
00727370689655-89_95-363&466_530&522-523&520_356&520_359&467_526&467-0_0_24_20_25_28_32-42-8.jpg,皖A0W148,皖A0W148,皖A0W148,True,0.7882,True,True,1.0,1.0,same,"[342, 457, 534, 527]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00727370689655-89_95-363&466_530&522-523&520_356&520_359&467_526&467-0_0_24_20_25_28_32-42-8.jpg
00731441570881-92_87-253&485_421&536-420&540_258&537_258&486_420&489-0_0_10_23_29_24_33-114-13.jpg,皖ALZ509,皖ALZ509,皖ALZ509,True,0.7763,True,True,1.0,1.0,same,"[246, 484, 428, 540]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00731441570881-92_87-253&485_421&536-420&540_258&537_258&486_420&489-0_0_10_23_29_24_33-114-13.jpg
00737547892721-90_85-317&498_485&551-477&548_326&548_320&494_471&494-0_0_10_33_24_32_13-99-11.jpg,皖AL908P,皖AL908P,皖AL908P,True,0.7968,True,True,1.0,1.0,same,"[313, 489, 483, 551]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00737547892721-90_85-317&498_485&551-477&548_326&548_320&494_471&494-0_0_10_33_24_32_13-99-11.jpg
00738146551724-88_89-298&465_449&526-446&506_308&523_303&476_441&459-0_0_25_31_32_9_29-94-13.jpg,皖A178K5,皖A178K5,皖A178K5,True,0.7818,True,True,1.0,1.0,same,"[290, 454, 458, 526]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00738146551724-88_89-298&465_449&526-446&506_308&523_303&476_441&459-0_0_25_31_32_9_29-94-13.jpg
00739224137931-90_82-201&495_364&556-362&550_212&546_204&495_354&499-0_0_0_21_29_31_29-46-23.jpg,皖AAX575,皖AAX575,皖AAX575,True,0.7884,True,True,1.0,1.0,same,"[195, 489, 368, 555]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00739224137931-90_82-201&495_364&556-362&550_212&546_204&495_354&499-0_0_0_21_29_31_29-46-23.jpg
00739224137931-90_85-233&397_392&451-399&457_235&448_227&386_391&395-0_0_15_29_29_31_32-100-15.jpg,皖AR5578,皖AR5578,皖AR5578,True,0.8179,True,True,1.0,1.0,same,"[223, 379, 404, 469]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00739224137931-90_85-233&397_392&451-399&457_235&448_227&386_391&395-0_0_15_29_29_31_32-100-15.jpg
00744252873564-90_90-255&461_418&516-416&511_251&513_253&457_418&455-0_0_8_32_22_32_27-165-18.jpg,皖AJ8Y83,皖AJ8Y83,皖AJ8Y83,True,0.8016,True,True,1.0,1.0,same,"[244, 454, 423, 514]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00744252873564-90_90-255&461_418&516-416&511_251&513_253&457_418&455-0_0_8_32_22_32_27-165-18.jpg
00745090996169-92_83-272&513_423&567-419&571_274&565_267&509_412&515-0_0_12_22_31_24_29-127-34.jpg,皖ANY705,皖ANY705,皖ANY705,True,0.7981,True,True,1.0,1.0,same,"[263, 503, 426, 573]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00745090996169-92_83-272&513_423&567-419&571_274&565_267&509_412&515-0_0_12_22_31_24_29-127-34.jpg
00746527777778-90_87-248&457_400&514-407&510_250&511_244&457_401&456-0_0_2_24_3_29_25-165-21.jpg,皖AC0D51,皖AC0D51,皖AC0D51,True,0.7955,True,True,1.0,1.0,same,"[242, 452, 411, 512]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00746527777778-90_87-248&457_400&514-407&510_250&511_244&457_401&456-0_0_2_24_3_29_25-165-21.jpg
00746527777778-90_91-271&539_429&601-425&594_277&594_279&542_427&542-0_0_29_7_24_24_33-108-13.jpg,皖A5H009,皖A5H009,皖A5H009,True,0.7825,True,True,1.0,1.0,same,"[267, 538, 435, 598]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00746527777778-90_91-271&539_429&601-425&594_277&594_279&542_427&542-0_0_29_7_24_24_33-108-13.jpg
00749042145593-92_85-282&520_438&580-438&589_280&580_276&523_434&532-0_0_0_33_11_29_30-200-18.jpg,皖AA9M56,皖AA9M56,皖AA9M56,True,0.8041,True,True,1.0,1.0,same,"[269, 520, 445, 590]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00749042145593-92_85-282&520_438&580-438&589_280&580_276&523_434&532-0_0_0_33_11_29_30-200-18.jpg
00749042145593-92_85-288&418_439&486-437&480_296&467_292&415_433&428-0_0_13_30_6_29_29-115-30.jpg,皖AP6G55,皖AP6G55,皖AP6G55,True,0.7945,True,True,1.0,1.0,same,"[285, 414, 444, 480]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00749042145593-92_85-288&418_439&486-437&480_296&467_292&415_433&428-0_0_13_30_6_29_29-115-30.jpg
00751077586207-90_90-244&489_413&548-416&551_244&553_243&495_415&493-0_0_15_26_15_30_30-125-12.jpg,皖AR2R66,皖AR2R66,皖AR2R66,True,0.7845,True,True,1.0,1.0,same,"[237, 492, 423, 549]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00751077586207-90_90-244&489_413&548-416&551_244&553_243&495_415&493-0_0_15_26_15_30_30-125-12.jpg
